94608,$2089,/ 486ft
94104,$4285,/ 2br - 
94014,$1500, 
94014,$1500, 
94965,$2879,/ 2br - 773ft
94965,$2879,/ 2br - 773ft
94590,$1550,/ 2br - 1100ft
94550,$1713,/ 1br - 
94080,$600,/ 1br - 720ft
94536,$1899,/ 2br - 900ft
94070,$2100,/ 1br - 650ft
94070,$2100,/ 1br - 650ft
95687,$1900,/ 3br - 1500ft
94598,$2000, 
94598,$2000, 
95006,$2500,/ 3br - 1400ft
95006,$2500,/ 3br - 1400ft
95035,$2630,/ 1br - 711ft
95126,$2570,/ 1br - 920ft
94105,$11500,/ 6br - 2000ft
94582,$2062,/ 1br - 775ft
94803,$1950,/ 2br - 
94577,$2500,/ 3br - 1100ft
94112,$800,/ 1br - 
95377,$2350,/ 4br - 2050ft
95377,$2350,/ 4br - 2050ft
94544,$2215,/ 1br - 985ft
95117,$2000,/ 2br - 
94523,$3200,/ 3br - 1422ft
94085,$3065,/ 906ft
94085,$3065,/ 906ft
94085,$3065,/ 906ft
94121,$2200, 
94536,$2475,/ 2br - 1164ft
94520,$2661,/ 2br - 1126ft
94709,$3299,/ 2br - 1100ft
94306,$5900,/ 4br - 
94104,$2767, 
94903,$2695,/ 2br - 922ft
94920,$6495,/ 3br - 1335ft
94588,$1750,/ 1br - 750ft
95687,$1700,/ 2br - 885ft
95687,$1700,/ 2br - 885ft
94044,$2937,/ 2br - 
94103,$3452,/ 1br - 
94066,$3900,/ 4br - 1350ft
94536,$2872,/ 2br - 1126ft
94107,$3602,/ 545ft
94945,$3224,/ 2br - 1164ft
94122,$3290,/ 1br - 650ft
94063,$2336,/ 1br - 724ft
95476,$2050,/ 2br - 1200ft
95476,$1950,/ 2br - 1200ft
95476,$1950,/ 2br - 1200ft
95051,$2377,/ 1br - 765ft
94577,$1695,/ 2br - 1200ft
94080,$3565,/ 2br - 1054ft
94114,$3095,/ 2br - 550ft
94122,$1750,/ 1br - 525ft
95123,$2700,/ 3br - 1617ft
94607,$2000,/ 2br - 
94124,$3800,/ 4br - 1300ft
94533,$1149,/ 550ft
94533,$1149,/ 550ft
94590,$1734,/ 3br - 1380ft
